environment-infrastructure-test,subtype,duration,cycle,round,exec,score
singularity-sdo-MI2,1hx3,1h,1,36,0,365
singularity-sdo-MI2,1hx3,1h,0,12,0,120
singularity-sdo-MI2,1hx3,1h,1,35,0,355
singularity-sdo-MI2,2hx3,2h,1,10,0,105
singularity-sdo-MI2,2hx3,2h,1,2,0,25
singularity-sdo-MI2,2hx3,2h,2,62,0,630
singularity-sdo-MI2,4hx3,4h,0,90,0,900
singularity-sdo-MI2,4hx3,4h,1,11,0,115
singularity-sdo-MI2,4hx3,4h,0,8,0,80
singularity-sdo-TB3,1hx3,1h,0,1,170,180
singularity-sdo-TB3,1hx3,1h,0,1,167,177
singularity-sdo-TB3,1hx3,1h,0,1,171,181
singularity-sdo-TB3,2hx3,2h,0,1,353,363
singularity-sdo-TB3,2hx3,2h,0,1,354,364
singularity-sdo-TB3,2hx3,2h,0,1,345,355
singularity-sdo-TB3,4hx3,4h,0,1,703,713
singularity-sdo-TB3,4hx3,4h,0,1,684,694
singularity-sdo-TB3,4hx3,4h,0,1,677,687
